,0,Quintile 1,Quintile 2,Quintile 3,Quintile 4,Quintile 5
binary1,0.035410927489818354,0.030178465247553556,0.0394428381994413,0.041670673355059765,0.037967025877020895,0.027795634770015506
binary2,0.03302384859147313,0.027293914762804104,0.03621926928959779,0.03857861381532627,0.035081020324914766,0.027946424764723324
cat1_0,0.008421405643157355,0.007270543623055114,0.00973777402631648,0.01012213602999866,0.009019803068570342,0.005956771467845967
cat1_1,0.0447461687059255,0.03196060374881364,0.04682976916301999,0.05214893206952138,0.05221691006155672,0.04057462848671709
cat1_2,0.054404117198971674,0.05892144497445959,0.06442287935194556,0.06194136311187408,0.05151943531589573,0.035215463240683496
cat1_3,0.05167985797376967,0.037940638445407356,0.053775398384775144,0.05971458985720759,0.05811016249812688,0.04885850068333141
cat1_4,0.01379351720451239,0.014440409461143403,0.0165122201711219,0.01575381709320467,0.012976498516639661,0.00928464078045216
fried1_std,0.20139360064535497,0.20255995062108054,0.2343801808839049,0.2333703293721979,0.19874754797724478,0.13790999437234264
fried2_std,0.2104965510770764,0.19382505758163662,0.2411196259024792,0.25464850773381037,0.22041074693016977,0.1424788172372832
fried3_std,0.08922468597017777,0.07417156895841961,0.09660021888078046,0.10522433926877738,0.0980819433506833,0.0720453593922279
fried4_std,0.1796307140403403,0.1950481440478502,0.18620762481566852,0.1877642340452089,0.17640219158070358,0.1527313757122718
fried5_std,0.08797514961037732,0.0850602370527642,0.09854697033584356,0.0991371198503462,0.08907677324965245,0.06805464756327864
Intercept,0.5357316136360168,0.5357316136360168,0.5357316136360168,0.5357316136360168,0.5357316136360168,0.5357316136360168
